Name,distance[kpc],log(Lgamma[erg/s]),errup,errdown,l,b,IBISobs[ksec],SPIobs[ksec],3sigmaUL[ph/cm2/s]
47Tuc,4.0,34.68,0.12,0.13,305.8953,-44.8891,4995.8,3688.4,0.
OmegaCen,4.8,34.44,0.13,0.15,309.102,14.9683,4704.4,4018.6,1.7e-4
M62,6.6,35.04,0.12,0.14,353.5746,7.3196,19675.1,19337.6,0.
NGC6388,11.6,35.41,0.12,0.25,345.5567,-6.7384,11316.1,10423.4,0.
Terzan5,5.5,35.41,0.17,0.19,3.839,1.6858,33557.1,26137.3,0.
NGC6440,8.5,35.38,0.19,0.15,7.7291,3.8017,24406.3,20503.8,0.
M28,5.1,34.79,0.16,0.16,7.7982,-5.5807,22527.3,21011.2,0.
NGC6652,9.0,34.89,0.18,0.15,1.5339,-11.3768,15412.8,12184.5,0.
Liller1,9.6,35.77,0.13,0.18,354.8407,-0.1601,33349.6,26065.5,0.
M80,10.3,34.92,0.28,0.51,352.6732,19.463,5743.3,4759.4,0.
NGC6441,11.7,35.57,0.09,0.12,353.5322,-5.0058,26146.3,24700.1,0.
NGC6624,7.9,35.17,0.09,0.11,2.7883,-7.9135,23661.6,19157.5,0.
NGC6541,6.9,34.54,0.24,0.33,349.2861,-11.1882,7855.6,6056.9,0.
NGC6752,4.4,34.14,0.19,0.30,336.4929,-25.6283,1121.7,841.2,0.
NGC5904,7.5,34.34,0.08,0.08,3.8587,46.7964,1258.8,1128.1,0.
M15,10.4,34.73,0.11,0.10,65.0126,-27.3126,339.7,338.1,0.
NGC6397,2.3,33.30,0.33,0.26,338.165,-11.9595,5231.0,4216.0,1.2e-4
NGC6218,4.8,33.98,0.09,0.09,15.7152,26.3133,1975.1,1875.3,0.
NGC6139,10.1,34.71,0.19,0.15,342.3646,6.9395,11046.3,9858.8,0.
