ID,L,B,R_Sun,R_gc,X,Y,Z
NGC_104,305.89,-44.89,4.5,7.4,1.9,-2.6,-3.1
NGC_288,152.30,-89.38,8.9,12.0,-0.1,0.0,-8.9
NGC_362,301.53,-46.25,8.6,9.4,3.1,-5.1,-6.2
Whiting_1,161.22,-60.76,30.1,34.5,-13.9,4.7,-26.3
NGC_1261,270.54,-52.12,16.3,18.1,0.1,-10.0,-12.9
Pal_1,130.06,19.03,11.1,17.2,-6.8,8.1,3.6
AM_1,258.34,-48.47,123.3,124.6,-16.5,-80.1,-92.3
Eridanus,218.10,-41.33,90.1,95.0,-53.2,-41.7,-59.5
Pal_2,170.53,-9.07,27.2,35.0,-26.4,4.4,-4.3
NGC_1851,244.51,-35.03,12.1,16.6,-4.2,-8.9,-6.9
NGC_1904,227.23,-29.35,12.9,18.8,-7.7,-8.3,-6.3
NGC_2298,245.63,-16.00,10.8,15.8,-4.3,-9.4,-3.0
NGC_2419,180.37,25.24,82.6,89.9,-74.7,-0.5,35.2
Ko_2,195.12,25.54,34.7,41.9,-30.2,-8.2,15.0
Pyxis,261.32,7.00,39.4,41.4,-5.9,-38.7,4.8
NGC_2808,282.19,-11.25,9.6,11.1,2.0,-9.2,-1.9
E_3,292.27,-19.02,8.1,9.1,2.9,-7.1,-2.6
Pal_3,240.15,41.86,92.5,95.7,-34.3,-59.7,61.7
NGC_3201,277.23,8.64,4.9,8.8,0.6,-4.8,0.7
Pal_4,202.31,71.80,108.7,111.2,-31.4,-12.9,103.2
Ko_1,260.99,70.75,48.3,49.3,-2.5,-15.7,45.6
NGC_4147,252.85,77.19,19.3,21.4,-1.3,-4.1,18.8
NGC_4372,300.99,-9.88,5.8,7.1,2.9,-4.9,-1.0
Rup_106,300.88,11.67,21.2,18.5,10.7,-17.8,4.3
NGC_4590,299.63,36.05,10.3,10.2,4.1,-7.2,6.0
NGC_4833,303.60,-8.02,6.6,7.0,3.6,-5.4,-0.9
NGC_5024,332.96,79.76,17.9,18.4,2.8,-1.4,17.6
NGC_5053,335.70,78.95,17.4,17.8,3.0,-1.4,17.1
NGC_5139,309.10,14.97,5.2,6.4,3.1,-3.9,1.3
NGC_5272,42.22,78.71,10.2,12.0,1.5,1.3,10.0
NGC_5286,311.61,10.57,11.7,8.9,7.6,-8.6,2.1
AM_4,320.28,33.51,32.2,27.8,20.7,-17.2,17.8
NGC_5466,42.15,73.59,16.0,16.3,3.3,3.0,15.3
NGC_5634,342.21,49.26,25.2,21.2,15.7,-5.0,19.1
NGC_5694,331.06,30.36,35.0,29.4,26.4,-14.6,17.7
IC_4499,307.35,-20.47,18.8,15.7,10.7,-14.0,-6.6
NGC_5824,332.56,22.07,32.1,25.9,26.4,-13.7,12.1
Pal_5,0.85,45.86,23.2,18.6,16.2,0.2,16.7
NGC_5897,342.95,30.29,12.5,7.4,10.3,-3.2,6.3
NGC_5904,3.86,46.80,7.5,6.2,5.1,0.3,5.5
NGC_5927,326.60,4.86,7.7,4.6,6.4,-4.2,0.7
NGC_5946,327.58,4.19,10.6,5.8,8.9,-5.6,0.8
BH_176,328.41,4.34,18.9,12.9,16.1,-9.9,1.4
NGC_5986,337.02,13.27,10.4,4.8,9.3,-4.0,2.4
Lynga_7,328.77,-2.80,8.0,4.3,6.8,-4.1,-0.4
Pal_14,28.74,42.19,76.5,71.6,49.7,27.3,51.4
NGC_6093,352.67,19.46,10.0,3.8,9.4,-1.2,3.3
NGC_6121,350.97,15.97,2.2,5.9,2.1,-0.3,0.6
NGC_6101,317.74,-15.82,15.4,11.2,11.0,-10.0,-4.2
NGC_6144,351.93,15.70,8.9,2.7,8.5,-1.2,2.4
NGC_6139,342.37,6.94,10.1,3.6,9.6,-3.0,1.2
Terzan_3,345.08,9.19,8.2,2.5,7.8,-2.1,1.3
NGC_6171,3.37,23.01,6.4,3.3,5.9,0.3,2.5
1636-283,351.91,12.10,8.3,2.1,8.0,-1.1,1.7
NGC_6205,59.01,40.91,7.1,8.4,2.8,4.6,4.7
NGC_6229,73.64,40.31,30.5,29.8,6.5,22.3,19.7
NGC_6218,15.72,26.31,4.8,4.5,4.2,1.2,2.1
FSR_1735,339.19,-1.85,9.8,3.7,9.1,-3.5,-0.3
NGC_6235,358.92,13.52,11.5,4.2,11.2,-0.2,2.7
NGC_6254,15.14,23.08,4.4,4.6,3.9,1.1,1.7
NGC_6256,347.79,3.31,10.3,3.0,10.0,-2.2,0.6
Pal_15,18.88,24.30,45.1,38.4,38.9,13.3,18.6
NGC_6266,353.57,7.32,6.8,1.7,6.7,-0.8,0.9
NGC_6273,356.87,9.38,8.8,1.7,8.7,-0.5,1.4
NGC_6284,358.35,9.94,15.3,7.5,15.0,-0.4,2.6
NGC_6287,0.13,11.02,9.4,2.1,9.2,0.0,1.8
NGC_6293,357.62,7.83,9.5,1.9,9.4,-0.4,1.3
NGC_6304,355.83,5.38,5.9,2.3,5.8,-0.4,0.6
NGC_6316,357.18,5.76,10.4,2.6,10.4,-0.5,1.0
NGC_6341,68.34,34.86,8.3,9.6,2.5,6.3,4.7
NGC_6325,0.97,8.00,7.8,1.1,7.7,0.1,1.1
NGC_6333,5.54,10.71,7.9,1.7,7.7,0.7,1.5
NGC_6342,4.90,9.72,8.5,1.7,8.4,0.7,1.4
NGC_6356,6.72,10.22,15.1,7.5,14.7,1.7,2.7
NGC_6355,359.59,5.43,9.2,1.4,9.2,-0.1,0.9
NGC_6352,341.42,-7.17,5.6,3.3,5.3,-1.8,-0.7
