m_v,dim
3.95,50.0
8.09,13.0
6.40,14.0
15.03,1.
8.29,6.8
13.18,2.8
15.72,0.5
14.70,1.0
13.04,2.2
7.14,12.0
7.73,9.6
9.29,5.0
10.41,4.6
17.60,-9999
12.90,4.0
6.20,14.0
11.35,1
14.26,1.6
6.75,20.0
17.10,1.3
14.20,-9999
10.32,4.4
7.24,5.0
10.90,2.0
7.84,11.0
6.91,14.0
7.61,13.0
9.47,10.0
3.68,55.0
6.19,18.0
7.34,11.0
15.88,3.0
9.04,9.0
9.47,5.5
10.17,4.3
9.76,8.0
9.09,7.4
11.75,8.0
8.53,11.0
5.65,23.0
8.01,6.0
9.61,3.0
14.00,3.0
7.52,9.6
14.74,2.2
10.18,2.5
7.33,10.0
5.63,36.0
9.16,5.0
9.01,7.4
8.99,8.2
12.00,3.0
7.93,13.0
12.00,1.2
5.78,20.0
9.39,4.5
6.70,16.0
12.90,0.
9.97,5.0
6.60,20.0
11.29,4.1
14.00,3.0
6.45,15.0
6.77,17.0
8.83,6.2
9.35,4.8
8.22,8.2
8.22,8.0
8.43,5.4
6.44,14.0
10.33,4.1
7.72,12.0
9.66,4.4
8.25,10.0
9.14,4.2
7.96,9.0
13.10,5.0
14.29,0.6
9.20,13.0
16.00,0.7
11.59,1.2
7.73,15.0
16.77,-9999
11.31,3.6
15.90,2.4
12.24,2.2
6.72,10.4
7.59,11.0
9.45,4.8
5.73,31.0
11.55,1.2
11.01,4.2
13.60,-9999
13.85,2.4
9.20,4.4
7.15,9.6
13.85,1.4
10.08,7.6
17.29,2.0
8.54,5.6
16.00,0.2
9.90,9.9
10.23,4.0
8.27,9.4
14.90,1.5
10.47,3.4
9.60,5.0
9.33,7.9
9.30,1.5
7.77,9.2
6.30,15.0
27.74,3.3
12.00,1.5
8.06,9.2
24.60,1.9
9.26,4.2
10.34,8.0
15.63,1.0
8.55,6.4
11.00,1.
-9999,-9999
8.27,6.6
7.87,8.8
6.79,11.2
9.02,7.3
7.64,9.8
9.13,5.8
8.62,6.0
5.10,32.0
11.02,5.2
7.87,8.0
22.24,-9999
8.10,9.8
7.60,12.0
9.28,5.4
7.01,13.0
12.44,4.0
5.40,29.0
8.88,9.6
8.27,8.8
12.00,1.2
13.22,4.0
12.30,2.3
6.32,19.0
12.40,3.5
9.80,10.0
8.19,7.2
8.52,6.8
8.83,7.1
9.27,6.6
10.56,3.6
6.20,18.0
6.47,16.0
7.19,12.0
11.99,2.9
13.47,0.7
11.29,4.2
