ID,v_r,+/-,v_LSR,sig_v,+/-,c,r_c,r_h,mu_V,rho_0,lg(tc),lg(th)
NGC_104,-18.0,0.1,-26.7,11.0,0.3,2.07,0.36,3.17,14.38,4.88,7.84,9.55
NGC_288,-45.4,0.2,-51.9,2.9,0.3,0.99,1.35,2.23,20.05,1.78,8.99,9.32
NGC_362,223.5,0.5,214.0,6.4,0.3,1.76,0.18,0.82,14.80,4.74,7.76,8.93
Whiting_1,-130.6,1.8,-138.1,-9999,-9999,0.55,0.25,0.22,-9999,-9999,-9999,7.93
NGC_1261,68.2,4.6,54.9,-9999,-9999,1.16,0.35,0.68,17.73,2.99,8.59,9.12
Pal_1,-82.8,3.3,-76.2,-9999,-9999,2.57,0.01,0.46,20.93,3.51,4.06,7.76
AM_1,116.0,20.0,101.3,-9999,-9999,1.36,0.17,0.41,23.62,0.03,8.96,9.61
Eridanus,-23.6,2.1,-39.1,-9999,-9999,1.10,0.25,0.46,22.81,0.38,9.18,9.54
Pal_2,-133.0,57.0,-140.1,-9999,-9999,1.53,0.17,0.50,19.06,4.06,8.82,9.28
NGC_1851,320.5,0.6,303.8,10.4,0.5,1.86,0.09,0.51,14.25,5.09,7.43,8.82
NGC_1904,205.8,0.4,189.0,5.3,0.4,1.70,0.16,0.65,16.02,4.08,7.83,8.95
NGC_2298,148.9,1.2,132.0,-9999,-9999,1.38,0.31,0.98,18.90,2.90,7.91,8.84
NGC_2419,-20.2,0.5,-25.2,4.0,0.6,1.37,0.32,0.89,19.67,1.62,9.87,10.63
Ko_2,-9999,-9999,-9999,-9999,-9999,0.50,0.25,0.21,-9999,-9999,-9999,7.70
Pyxis,34.3,1.9,20.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGC_2808,101.6,0.7,89.2,13.4,1.2,1.56,0.25,0.80,15.08,4.66,8.24,9.15
E_3,-9999,-9999,-9999,-9999,-9999,0.75,1.87,2.10,23.10,0.84,8.93,8.80
Pal_3,83.4,8.4,75.9,-9999,-9999,0.99,0.41,0.65,23.26,0.01,9.65,9.88
NGC_3201,494.0,0.2,482.9,5.0,0.2,1.29,1.30,3.10,19.00,2.71,8.61,9.27
Pal_4,74.5,2.1,76.6,-9999,-9999,0.93,0.33,0.51,23.01,0.11,9.72,9.42
Ko_1,-9999,-9999,-9999,-9999,-9999,0.50,0.33,0.26,-9999,-9999,-9999,8.62
NGC_4147,183.2,0.7,186.1,2.6,0.7,1.83,0.09,0.48,17.38,3.63,7.41,8.74
NGC_4372,72.3,1.2,64.2,-9999,-9999,1.30,1.75,3.91,20.58,2.06,8.88,9.59
Rup_106,-44.0,3.0,-49.7,-9999,-9999,0.70,1.00,1.05,21.82,1.10,9.41,9.34
NGC_4590,-94.7,0.2,-96.8,2.5,0.4,1.41,0.58,1.51,18.81,2.57,8.45,9.27
NGC_4833,200.2,1.2,192.9,-9999,-9999,1.25,1.00,2.41,18.48,3.00,8.78,9.42
